Number of tokens,Most frequent tokens,"Most frequent tokens, no punctuation","Most frequent tokens, no stopwords",Most frequent bigrams,"Most frequent bigrams, no punctuation","Most frequent bigrams, no stopwords",Number of sents,Most frequent PoS,Sentence Word Ratio,Type Token Ratio,Target
4000,"[('the', 299), (',', 262), ('of', 243), ('to', 145), ('.', 111), ('a', 98), ('in', 86), ('and', 83), ('be', 54), ('that', 53), ('is', 48), ('it', 46), ('which', 36), ('this', 31), ('by', 30), ('as', 26), ('states', 26), ('not', 25), ('from', 24), ('their', 23)]","[('the', 299), ('of', 243), ('to', 145), ('a', 98), ('in', 86), ('and', 83), ('be', 54), ('that', 53), ('is', 48), ('it', 46), ('which', 36), ('this', 31), ('by', 30), ('as', 26), ('states', 26), ('not', 25), ('from', 24), ('their', 23), ('for', 21), ('or', 21)]","[('states', 26), ('majority', 16), ('power', 13), ('government', 13), ('number', 11), ('union', 10), ('men', 10), ('people', 9), ('state', 8), ('foreign', 8), ('new', 7), ('system', 7), ('authority', 7), ('ought', 7), ('want', 6), ('nation', 6), ('greater', 6), ('different', 6), ('national', 6), ('equal', 6)]","[('of the', 78), (', and', 27), ('in the', 26), ('to the', 25), ('. the', 25), (', in', 21), ('of a', 17), ('to be', 16), ('it is', 15), ('from the', 13), (', to', 12), (', or', 12), ('. it', 11), ('the most', 11), (', that', 11), ('may be', 11), ('states ,', 10), ('that the', 10), ('by the', 10), ('the people', 9)]","[('of the', 78), ('in the', 26), ('to the', 25), ('of a', 17), ('to be', 16), ('it is', 15), ('from the', 13), ('the most', 11), ('may be', 11), ('that the', 10), ('by the', 10), ('the people', 9), ('of this', 9), ('the union', 8), ('has been', 8), ('the states', 8), ('would be', 8), ('a majority', 8), ('the same', 7), ('of our', 7)]","[('new york', 4), ('united states', 4), ('rhode island', 3), ('foreign corruption', 3), ('existing federal', 2), ('federal system', 2), ('instances given', 2), ('furnish quotas', 2), ('sense majority', 2), ('people america', 2), ('seven states', 2), ('states contain', 2), ('number states', 2), ('greater number', 2), ('smaller number', 2), ('foreign power', 2), ('treaties united', 2), ('final jurisdiction', 2), ('different courts', 2), ('22 subject', 1)]",136,"[('NOUN', 783), ('ADP', 547), ('DET', 473), ('PUNCT', 416), ('ADJ', 332), ('VERB', 327), ('SPACE', 321), ('AUX', 271), ('PRON', 268), ('CCONJ', 127), ('ADV', 120), ('SCONJ', 109), ('PART', 106), ('PROPN', 92), ('NUM', 25), ('X', 4)]",0.034,0.2845,Hamilton
2027,"[('the', 192), (',', 103), ('of', 102), ('to', 98), ('and', 56), ('be', 45), ('.', 41), ('which', 31), (';', 30), ('that', 28), ('in', 26), ('a', 25), ('as', 24), ('is', 23), ('it', 23), ('are', 18), ('for', 17), ('government', 16), ('with', 16), ('will', 15)]","[('the', 190), ('of', 102), ('to', 98), ('and', 56), ('be', 45), ('which', 31), ('that', 28), ('in', 26), ('a', 25), ('as', 24), ('is', 23), ('it', 23), ('are', 18), ('for', 17), ('government', 16), ('with', 16), ('will', 15), ('this', 14), ('ought', 14), ('can', 14)]","[('government', 16), ('ought', 14), ('powers', 9), ('union', 8), ('defense', 8), ('federal', 7), ('power', 7), ('common', 7), ('objects', 6), ('extent', 6), ('national', 6), ('states', 5), ('essential', 5), ('safety', 5), ('interests', 5), ('necessity', 4), ('proposed', 4), ('preservation', 4), ('people', 4), ('necessary', 4)]","[('of the', 40), ('to the', 15), ('to be', 15), ('ought to', 13), ('in the', 12), (', and', 9), (', that', 9), ('that the', 9), (', as', 9), ('for the', 8), ('the union', 7), ('. the', 7), ('; to', 7), (', the', 6), ('the common', 6), ('it is', 6), ('; and', 6), ('of a', 5), ('as the', 5), ('. this', 5)]","[('of the', 40), ('to the', 15), ('to be', 15), ('ought to', 13), ('in the', 12), ('that the', 9), ('for the', 8), ('the union', 7), ('the common', 7), ('it is', 6), ('of a', 5), ('as the', 5), ('the federal', 5), ('federal government', 5), ('government the', 5), ('common defense', 5), ('the extent', 5), ('which are', 5), ('can be', 5), ('the most', 5)]","[('federal government', 5), ('common defense', 5), ('national interests', 3), ('energetic proposed', 2), ('proposed preservation', 2), ('preservation union', 2), ('new york', 2), ('power ought', 2), ('build equip', 2), ('equip fleets', 2), ('direct operations', 2), ('extent variety', 2), ('public safety', 2), ('matter essential', 2), ('army navy', 2), ('common safety', 2), ('people ought', 2), ('powers safely', 2), ('extent country', 2), ('23 necessity', 1)]",64,"[('NOUN', 377), ('DET', 268), ('ADP', 244), ('PUNCT', 189), ('VERB', 178), ('AUX', 176), ('ADJ', 175), ('SPACE', 164), ('PRON', 150), ('PART', 79), ('CCONJ', 70), ('ADV', 49), ('SCONJ', 48), ('PROPN', 18), ('NUM', 6)]",0.031573754316724226,0.30981746423285644,Hamilton
2269,"[(',', 154), ('the', 152), ('of', 120), ('to', 92), ('and', 59), ('in', 56), ('.', 55), ('be', 52), ('a', 51), ('that', 33), ('would', 25), ('it', 23), ('this', 23), ('he', 18), (';', 16), ('which', 15), ('by', 14), ('if', 13), ('not', 13), ('as', 13)]","[('the', 152), ('of', 120), ('to', 92), ('and', 59), ('in', 56), ('be', 52), ('a', 51), ('that', 33), ('would', 25), ('it', 23), ('this', 23), ('he', 18), ('which', 15), ('by', 14), ('if', 13), ('not', 13), ('as', 13), ('their', 13), ('have', 12), ('or', 12)]","[('peace', 9), ('legislature', 8), ('standing', 7), ('armies', 7), ('time', 7), ('constitutions', 7), ('establishments', 7), ('garrisons', 6), ('powers', 5), ('people', 5), ('state', 5), ('new', 5), ('respect', 5), ('appear', 5), ('necessity', 5), ('plan', 5), ('states', 5), ('ought', 5), ('government', 4), ('objection', 4)]","[('of the', 35), ('to be', 20), (', and', 20), ('to the', 19), (', in', 14), ('would be', 12), (', that', 10), ('in the', 10), ('he would', 9), (', he', 8), ('in time', 7), ('time of', 7), ('of peace', 7), ('. the', 7), (', the', 7), ('the legislature', 7), ('for the', 6), ('standing armies', 6), ('. if', 6), ('peace ;', 5)]","[('of the', 35), ('to be', 20), ('to the', 19), ('would be', 12), ('in the', 10), ('he would', 9), ('in time', 7), ('time of', 7), ('of peace', 7), ('the legislature', 7), ('for the', 6), ('standing armies', 6), ('the other', 5), ('be a', 5), ('in a', 5), ('in respect', 4), ('respect to', 4), ('military establishments', 4), ('that it', 4), ('of a', 4)]","[('time peace', 7), ('standing armies', 6), ('military establishments', 4), ('armies time', 3), ('state constitutions', 3), ('bills rights', 3), ('new york', 2), ('general sense', 2), ('sense america', 2), ('legislative authority', 2), ('nearer view', 2), ('establishments time', 2), ('united states', 2), ('happened man', 2), ('subject dominion', 2), ('western frontier', 2), ('ought regarded', 2), ('britain spain', 2), ('permanent corps', 2), ('corps pay', 2)]",69,"[('NOUN', 417), ('ADP', 317), ('DET', 252), ('PUNCT', 240), ('ADJ', 186), ('VERB', 185), ('SPACE', 181), ('AUX', 171), ('PRON', 157), ('CCONJ', 81), ('ADV', 71), ('PART', 62), ('SCONJ', 61), ('PROPN', 45), ('NUM', 22), ('INTJ', 1), ('X', 1)]",0.030409872190392245,0.3199647421771706,Hamilton
2247,"[('the', 179), (',', 148), ('of', 126), ('to', 91), ('.', 61), ('be', 52), ('and', 46), ('a', 44), ('in', 40), ('that', 31), ('it', 26), ('as', 24), ('by', 22), ('would', 21), ('this', 20), ('is', 17), ('or', 15), ('which', 15), ('are', 14), ('from', 13)]","[('the', 179), ('of', 126), ('to', 91), ('be', 52), ('and', 46), ('a', 44), ('in', 40), ('that', 31), ('it', 26), ('as', 24), ('by', 22), ('would', 21), ('this', 20), ('is', 17), ('or', 15), ('which', 15), ('are', 14), ('from', 13), ('for', 11), ('on', 11)]","[('states', 10), ('danger', 10), ('time', 10), ('government', 10), ('state', 8), ('peace', 8), ('national', 7), ('union', 6), ('military', 6), ('shall', 6), ('common', 5), ('new', 5), ('york', 5), ('people', 5), ('members', 5), ('liberty', 5), ('armies', 5), ('defense', 4), ('ought', 4), ('federal', 4)]","[('of the', 37), ('to the', 25), (', and', 21), ('. the', 16), (', in', 11), ('of a', 10), ('that the', 9), ('to be', 9), ('would be', 8), (', the', 8), ('in the', 7), (', to', 7), ('the national', 7), ('from the', 6), ('the union', 6), (', as', 6), ('states ,', 6), (', that', 6), ('time of', 6), ('the same', 5)]","[('of the', 37), ('to the', 25), ('of a', 10), ('that the', 9), ('to be', 9), ('would be', 8), ('in the', 7), ('the national', 7), ('from the', 6), ('the union', 6), ('time of', 6), ('the same', 5), ('new york', 5), ('the people', 5), ('will be', 5), ('on the', 5), ('it is', 5), ('in time', 5), ('of peace', 5), ('the state', 4)]","[('new york', 5), ('time peace', 5), ('national government', 3), ('united states', 3), ('common defense', 2), ('state governments', 2), ('federal head', 2), ('military force', 2), ('military establishments', 2), ('possession military', 2), ('military forces', 2), ('likely jealous', 2), ('standing armies', 2), ('armies time', 2), ('raising armies', 2), ('kept time', 2), ('raise troops', 2), ('25 subject', 1), ('subject continued', 1), ('continued powers', 1)]",83,"[('NOUN', 423), ('ADP', 318), ('DET', 262), ('PUNCT', 230), ('VERB', 192), ('AUX', 183), ('SPACE', 179), ('ADJ', 169), ('PRON', 141), ('ADV', 83), ('CCONJ', 68), ('SCONJ', 57), ('PART', 57), ('PROPN', 55), ('NUM', 8), ('X', 1)]",0.03693813974187806,0.317311971517579,Hamilton
2669,"[('the', 205), (',', 159), ('of', 149), ('to', 96), ('in', 65), ('.', 59), ('be', 54), ('a', 53), ('and', 49), ('it', 43), ('that', 42), ('is', 25), ('not', 24), (';', 23), ('for', 22), ('an', 22), ('which', 21), ('by', 21), ('as', 18), ('if', 16)]","[('the', 205), ('of', 149), ('to', 96), ('in', 65), ('be', 54), ('a', 53), ('and', 49), ('it', 43), ('that', 42), ('is', 25), ('not', 24), ('for', 22), ('an', 22), ('which', 21), ('by', 21), ('as', 18), ('if', 16), ('have', 16), ('would', 16), ('this', 15)]","[('time', 13), ('peace', 10), ('authority', 9), ('people', 9), ('power', 9), ('government', 9), ('legislature', 9), ('military', 8), ('provision', 8), ('state', 7), ('national', 7), ('liberty', 7), ('states', 7), ('army', 7), ('force', 7), ('revolution', 5), ('rights', 5), ('point', 5), ('country', 5), ('public', 5)]","[('of the', 40), (', and', 15), ('in the', 15), ('to the', 14), ('to be', 12), (', in', 12), ('. the', 12), (', the', 11), ('in time', 10), ('time of', 10), ('the people', 9), ('of peace', 9), ('for the', 8), (', that', 8), ('; and', 8), (', by', 8), ('. it', 8), ('it is', 7), (', if', 7), ('by the', 7)]","[('of the', 40), ('in the', 15), ('to the', 14), ('to be', 12), ('in time', 10), ('time of', 10), ('the people', 9), ('of peace', 9), ('for the', 8), ('it is', 8), ('by the', 7), ('the legislature', 7), ('of a', 7), ('would be', 7), ('in a', 6), ('of government', 6), ('the national', 6), ('will be', 6), ('enough to', 6), ('with the', 5)]","[('time peace', 9), ('standing armies', 4), ('legislative authority', 3), ('military establishments', 3), ('military force', 3), ('idea restraining', 2), ('restraining legislative', 2), ('common defense', 2), ('state new', 2), ('new york', 2), ('energy government', 2), ('establishments time', 2), ('bill rights', 2), ('peace consent', 2), ('ought kept', 2), ('kept time', 2), ('period years', 2), ('support army', 2), ('national legislature', 2), ('26 idea', 1)]",80,"[('NOUN', 500), ('ADP', 366), ('DET', 324), ('PUNCT', 255), ('VERB', 241), ('SPACE', 212), ('AUX', 200), ('ADJ', 194), ('PRON', 169), ('ADV', 108), ('PART', 93), ('SCONJ', 79), ('CCONJ', 76), ('PROPN', 46), ('NUM', 17), ('INTJ', 1)]",0.029973772948669913,0.29674035219183215,Hamilton
1647,"[('the', 154), (',', 104), ('of', 94), ('to', 64), ('that', 38), ('will', 35), ('be', 34), ('and', 33), ('in', 31), ('.', 31), ('a', 30), ('it', 21), ('which', 19), ('its', 16), ('government', 16), (';', 15), ('by', 14), ('or', 14), ('is', 14), ('can', 13)]","[('the', 154), ('of', 94), ('to', 64), ('that', 38), ('will', 34), ('be', 34), ('and', 33), ('in', 31), ('a', 30), ('it', 21), ('which', 19), ('its', 16), ('government', 16), ('by', 14), ('or', 14), ('is', 14), ('can', 13), ('as', 11), ('are', 10), ('authority', 9)]","[('government', 16), ('authority', 9), ('state', 9), ('people', 8), ('laws', 7), ('general', 6), ('union', 6), ('force', 5), ('reasons', 5), ('national', 5), ('common', 4), ('federal', 4), ('administered', 4), ('greater', 4), ('members', 4), ('confederacy', 4), ('new', 3), ('constitution', 3), ('proposed', 3), ('aid', 3)]","[('of the', 41), ('to the', 19), (', in', 11), ('that the', 10), ('will be', 10), ('in the', 9), ('the people', 8), (', that', 8), (', and', 8), (', will', 8), (', or', 7), ('of its', 7), (', the', 7), ('of a', 6), ('by the', 5), ('. it', 5), ('the national', 5), ('can be', 5), ('the laws', 5), ('the union', 5)]","[('of the', 41), ('to the', 19), ('that the', 10), ('will be', 10), ('in the', 9), ('the people', 8), ('of its', 7), ('of a', 6), ('by the', 5), ('the national', 5), ('can be', 5), ('the laws', 5), ('the union', 5), ('the government', 5), ('the state', 4), ('it is', 4), ('there is', 4), ('for the', 4), ('it will', 4), ('laws of', 4)]","[('execution laws', 3), ('new york', 2), ('general government', 2), ('federal government', 2), ('laws union', 2), ('government state', 2), ('operations national', 2), ('27 subject', 1), ('subject continued', 1), ('continued idea', 1), ('idea restraining', 1), ('restraining legislative', 1), ('legislative authority', 1), ('authority regard', 1), ('regard common', 1), ('common defense', 1), ('defense considered', 1), ('considered new', 1), ('york packet', 1), ('packet tuesday', 1)]",39,"[('NOUN', 326), ('ADP', 221), ('DET', 205), ('PUNCT', 158), ('VERB', 142), ('SPACE', 135), ('ADJ', 133), ('PRON', 127), ('AUX', 124), ('ADV', 54), ('CCONJ', 52), ('SCONJ', 49), ('PART', 36), ('PROPN', 14), ('NUM', 4), ('X', 2)]",0.023679417122040074,0.33272616879174255,Hamilton
1809,"[('the', 171), (',', 100), ('of', 98), ('to', 67), ('in', 41), ('.', 41), ('be', 41), ('and', 35), ('a', 33), ('that', 20), ('it', 18), ('for', 16), ('government', 16), ('all', 15), ('which', 14), ('can', 14), ('is', 14), ('state', 13), (';', 13), ('will', 13)]","[('the', 171), ('of', 98), ('to', 67), ('in', 41), ('be', 41), ('and', 35), ('a', 33), ('that', 20), ('it', 18), ('for', 16), ('government', 16), ('all', 15), ('which', 14), ('can', 14), ('is', 14), ('state', 13), ('will', 13), ('their', 13), ('an', 13), ('people', 12)]","[('government', 16), ('state', 13), ('people', 12), ('force', 9), ('national', 7), ('power', 7), ('authority', 6), ('different', 6), ('extent', 5), ('militia', 5), ('general', 5), ('governments', 5), ('states', 5), ('opposition', 5), ('time', 4), ('rights', 4), ('union', 4), ('citizens', 4), ('maintain', 4), ('regular', 4)]","[('of the', 35), ('to the', 17), ('the people', 12), ('. the', 10), (', and', 10), ('in the', 9), ('that the', 8), (', the', 8), ('; and', 8), ('the same', 7), ('the national', 7), ('in a', 7), (', in', 7), ('the state', 6), ('from the', 6), ('and the', 6), (', or', 6), ('for the', 5), ('may be', 5), ('extent of', 5)]","[('of the', 35), ('to the', 17), ('the people', 12), ('in the', 9), ('that the', 8), ('the same', 7), ('the national', 7), ('in a', 7), ('the state', 6), ('from the', 6), ('and the', 6), ('for the', 5), ('may be', 5), ('extent of', 5), ('of a', 5), ('the militia', 5), ('all the', 5), ('they can', 5), ('by the', 4), ('to be', 4)]","[('state governments', 4), ('national government', 3), ('general government', 3), ('state new', 2), ('new york', 2), ('raise maintain', 2), ('government states', 2), ('different parcels', 2), ('representatives people', 2), ('measures defense', 2), ('plan opposition', 2), ('military force', 2), ('natural strength', 2), ('people large', 2), ('28 subject', 1), ('subject continued', 1), ('continued idea', 1), ('idea restraining', 1), ('restraining legislative', 1), ('legislative authority', 1)]",68,"[('NOUN', 381), ('ADP', 248), ('DET', 241), ('PUNCT', 171), ('SPACE', 149), ('AUX', 149), ('ADJ', 146), ('VERB', 144), ('PRON', 125), ('ADV', 48), ('CCONJ', 45), ('PART', 44), ('SCONJ', 41), ('PROPN', 13), ('NUM', 11), ('X', 2)]",0.037589828634604756,0.3101160862354892,Hamilton
2487,"[('the', 224), ('of', 154), (',', 133), ('to', 112), ('and', 59), ('be', 50), ('a', 50), ('.', 47), ('it', 42), ('in', 41), ('is', 31), ('that', 30), ('militia', 27), ('as', 26), ('would', 19), ('for', 17), ('or', 17), ('which', 16), ('if', 15), ('from', 14)]","[('the', 224), ('of', 154), ('to', 112), ('and', 59), ('be', 50), ('a', 50), ('it', 42), ('in', 41), ('is', 31), ('that', 30), ('militia', 27), ('as', 26), ('would', 19), ('for', 17), ('or', 17), ('which', 16), ('if', 15), ('from', 14), ('an', 14), ('their', 14)]","[('militia', 27), ('power', 11), ('people', 9), ('army', 8), ('government', 8), ('military', 6), ('states', 6), ('federal', 6), ('necessary', 6), ('new', 5), ('state', 5), ('national', 5), ('authority', 5), ('plan', 5), ('body', 5), ('possible', 5), ('danger', 5), ('natural', 4), ('defense', 4), ('union', 4)]","[('of the', 58), ('the militia', 23), ('to the', 21), ('in the', 19), (', and', 15), ('to be', 13), ('for the', 10), (', that', 10), ('of a', 10), ('militia ,', 9), (', it', 9), ('. it', 8), ('would be', 8), ('it would', 8), ('from the', 7), ('the people', 7), ('there is', 7), (', to', 7), ('and of', 6), ('it is', 6)]","[('of the', 58), ('the militia', 23), ('to the', 21), ('in the', 19), ('to be', 13), ('for the', 10), ('of a', 10), ('would be', 8), ('it would', 8), ('from the', 7), ('the people', 7), ('there is', 7), ('and of', 6), ('it is', 6), ('the federal', 6), ('will be', 6), ('is a', 6), ('with the', 5), ('the national', 5), ('that the', 5)]","[('federal government', 5), ('new york', 3), ('posse comitatus', 3), ('select corps', 3), ('militia new', 2), ('times insurrection', 2), ('insurrection invasion', 2), ('invasion natural', 2), ('acquire degree', 2), ('regulation militia', 2), ('plan convention', 2), ('disciplining militia', 2), ('united states', 2), ('appointment officers', 2), ('wellregulated militia', 2), ('power calling', 2), ('proposed constitution', 2), ('force intended', 2), ('laws necessary', 2), ('necessary proper', 2)]",77,"[('NOUN', 467), ('ADP', 334), ('DET', 308), ('VERB', 225), ('PUNCT', 223), ('SPACE', 196), ('AUX', 187), ('PRON', 184), ('ADJ', 181), ('CCONJ', 85), ('PART', 83), ('ADV', 82), ('SCONJ', 70), ('PROPN', 47), ('NUM', 10), ('INTJ', 1)]",0.03096099718536389,0.3108162444712505,Hamilton
2202,"[('the', 166), (',', 125), ('of', 114), ('to', 76), ('in', 49), ('be', 49), ('.', 46), ('and', 45), ('a', 38), ('that', 31), ('it', 29), ('its', 24), ('for', 23), ('as', 22), ('would', 22), ('which', 20), ('or', 20), (';', 19), ('this', 17), ('is', 15)]","[('the', 166), ('of', 114), ('to', 76), ('in', 49), ('be', 49), ('and', 45), ('a', 38), ('that', 31), ('it', 29), ('its', 24), ('for', 23), ('as', 22), ('would', 22), ('which', 20), ('or', 20), ('this', 17), ('is', 15), ('government', 14), ('by', 14), ('can', 13)]","[('government', 14), ('public', 11), ('national', 10), ('power', 9), ('union', 9), ('taxation', 6), ('new', 6), ('state', 6), ('resources', 5), ('necessities', 5), ('states', 5), ('system', 5), ('situation', 5), ('general', 4), ('people', 4), ('ought', 4), ('wants', 4), ('requisitions', 4), ('credit', 4), ('supplied', 4)]","[('of the', 34), (', and', 13), ('to the', 12), ('in the', 12), (', in', 11), ('would be', 11), ('for the', 10), ('to be', 9), ('the national', 8), ('the union', 8), ('power of', 7), (', that', 7), ('; and', 6), (', would', 6), ('of taxation', 5), ('from the', 5), ('the state', 5), ('has been', 5), ('. but', 5), (', or', 5)]","[('of the', 34), ('to the', 13), ('in the', 12), ('would be', 11), ('for the', 10), ('to be', 9), ('the national', 8), ('the union', 8), ('power of', 7), ('of taxation', 5), ('from the', 5), ('the state', 5), ('has been', 5), ('may be', 5), ('the public', 5), ('in a', 5), ('it is', 5), ('upon the', 5), ('on the', 5), ('of its', 5)]","[('power taxation', 3), ('national government', 3), ('general power', 2), ('new york', 2), ('power providing', 2), ('support national', 2), ('resources community', 2), ('wants government', 2), ('united states', 2), ('wants union', 2), ('state governments', 2), ('commercial imposts', 2), ('federal head', 2), ('public credit', 2), ('brought activity', 2), ('supplied mode', 2), ('30 concerning', 1), ('concerning general', 1), ('taxation new', 1), ('york packet', 1)]",72,"[('NOUN', 421), ('ADP', 297), ('DET', 255), ('PUNCT', 210), ('VERB', 207), ('AUX', 188), ('SPACE', 175), ('ADJ', 167), ('PRON', 157), ('CCONJ', 78), ('ADV', 70), ('SCONJ', 62), ('PART', 53), ('PROPN', 25), ('NUM', 10), ('X', 2)]",0.0326975476839237,0.3237965485921889,Hamilton
1939,"[('the', 165), ('of', 106), (',', 99), ('to', 82), ('in', 49), ('.', 47), ('and', 44), ('be', 36), ('that', 30), ('it', 27), ('a', 24), ('is', 23), ('which', 20), ('as', 20), ('are', 18), ('not', 16), ('power', 14), ('or', 13), ('upon', 13), ('this', 13)]","[('the', 165), ('of', 106), ('to', 82), ('in', 49), ('and', 44), ('be', 36), ('that', 30), ('it', 27), ('a', 24), ('is', 23), ('which', 20), ('as', 20), ('are', 18), ('not', 16), ('power', 14), ('or', 13), ('upon', 13), ('this', 13), ('an', 12), ('from', 11)]","[('power', 14), ('state', 10), ('government', 10), ('union', 9), ('ought', 8), ('national', 8), ('taxation', 7), ('governments', 7), ('people', 6), ('federal', 6), ('general', 5), ('means', 5), ('subject', 4), ('nature', 4), ('equal', 4), ('natural', 4), ('men', 4), ('far', 4), ('exigencies', 4), ('extent', 4)]","[('of the', 37), ('to the', 20), ('in the', 17), ('it is', 11), ('power of', 10), ('to be', 10), (', and', 10), ('upon the', 9), ('the union', 9), ('the state', 8), (', that', 8), ('that the', 8), ('ought to', 8), (', the', 8), ('the national', 8), ('of taxation', 7), ('state governments', 7), ('the people', 6), (', or', 6), (', it', 6)]","[('of the', 37), ('to the', 20), ('in the', 17), ('it is', 11), ('power of', 10), ('to be', 10), ('that the', 9), ('upon the', 9), ('the union', 9), ('the state', 8), ('ought to', 8), ('the national', 8), ('of taxation', 7), ('state governments', 7), ('the people', 6), ('not be', 6), ('the same', 5), ('from the', 5), ('the means', 5), ('of a', 5)]","[('state governments', 7), ('power taxation', 6), ('national government', 4), ('general power', 3), ('federal government', 3), ('new york', 2), ('nature maxims', 2), ('limitation power', 2), ('infinite divisibility', 2), ('power procuring', 2), ('indefinite power', 2), ('usurpation ought', 2), ('nature extent', 2), ('extent powers', 2), ('encroach rights', 2), ('federal head', 2), ('31 subject', 1), ('subject continued', 1), ('continued concerning', 1), ('concerning general', 1)]",57,"[('NOUN', 399), ('ADP', 270), ('DET', 238), ('PUNCT', 175), ('SPACE', 156), ('VERB', 153), ('ADJ', 152), ('AUX', 145), ('PRON', 135), ('CCONJ', 64), ('SCONJ', 63), ('PART', 63), ('ADV', 61), ('PROPN', 14), ('NUM', 7)]",0.029396596183599792,0.32284682826199074,Hamilton
1676,"[('the', 153), ('of', 92), (',', 89), ('to', 47), ('and', 41), ('in', 40), ('.', 36), ('a', 36), ('that', 32), ('be', 30), ('it', 24), ('would', 23), ('which', 23), (';', 21), ('states', 21), ('power', 17), ('this', 16), ('not', 16), ('is', 16), ('an', 15)]","[('the', 153), ('of', 92), ('to', 47), ('and', 41), ('in', 40), ('a', 36), ('that', 32), ('be', 30), ('it', 24), ('would', 23), ('which', 23), ('states', 21), ('power', 17), ('this', 16), ('not', 16), ('is', 16), ('an', 15), ('on', 14), ('union', 13), ('authority', 12)]","[('states', 21), ('power', 17), ('union', 13), ('authority', 12), ('state', 10), ('clause', 10), ('duties', 8), ('imports', 8), ('exports', 7), ('article', 7), ('exclusive', 7), ('tax', 6), ('sense', 5), ('national', 5), ('exercise', 5), ('cases', 5), ('case', 5), ('congress', 5), ('shall', 5), ('lay', 5)]","[('of the', 39), ('in the', 19), ('the states', 16), ('to the', 14), ('would be', 12), ('the union', 12), (', and', 10), ('; and', 8), ('. the', 8), (', the', 7), ('power of', 6), (', would', 6), ('on imports', 6), ('. this', 6), ('the same', 5), ('the state', 5), ('that the', 5), ('authority to', 5), ('duties on', 5), ('imports and', 5)]","[('of the', 39), ('in the', 19), ('the states', 16), ('to the', 14), ('would be', 12), ('the union', 12), ('power of', 6), ('on imports', 6), ('it would', 6), ('the same', 5), ('the state', 5), ('that the', 5), ('authority to', 5), ('duties on', 5), ('imports and', 5), ('and exports', 5), ('by the', 5), ('the first', 5), ('of taxation', 4), ('from the', 4)]","[('imports exports', 6), ('duties imports', 5), ('power taxation', 4), ('state governments', 3), ('united states', 3), ('authority union', 3), ('authority states', 3), ('section article', 3), ('congress lay', 3), ('general power', 2), ('power union', 2), ('individual states', 2), ('states possess', 2), ('plan convention', 2), ('states exercising', 2), ('resemble fact', 2), ('concurrent jurisdiction', 2), ('direct contradiction', 2), ('congress shall', 2), ('tenth section', 2)]",54,"[('NOUN', 331), ('DET', 239), ('ADP', 210), ('PUNCT', 162), ('ADJ', 137), ('VERB', 136), ('SPACE', 134), ('AUX', 115), ('PRON', 108), ('CCONJ', 63), ('SCONJ', 46), ('ADV', 45), ('PART', 44), ('PROPN', 31), ('NUM', 9)]",0.032219570405727926,0.27804295942720764,Hamilton
1905,"[('the', 161), (',', 120), ('of', 91), ('to', 67), ('and', 44), ('a', 44), ('it', 39), ('.', 38), ('in', 33), ('be', 32), ('that', 32), ('is', 26), ('which', 22), ('power', 21), ('this', 18), ('laws', 16), ('would', 15), ('but', 15), ('by', 14), ('as', 14)]","[('the', 161), ('of', 91), ('to', 67), ('and', 44), ('a', 44), ('it', 39), ('in', 33), ('be', 32), ('that', 32), ('is', 26), ('which', 22), ('power', 21), ('this', 18), ('laws', 16), ('would', 15), ('but', 15), ('by', 14), ('as', 14), ('not', 14), ('have', 13)]","[('power', 21), ('laws', 16), ('constitution', 12), ('powers', 12), ('state', 10), ('law', 9), ('necessary', 8), ('supreme', 8), ('clause', 7), ('proper', 7), ('government', 7), ('authority', 7), ('union', 7), ('taxation', 5), ('truth', 5), ('taxes', 5), ('political', 5), ('respect', 4), ('article', 4), ('national', 4)]","[('of the', 40), ('in the', 14), ('to the', 11), (', and', 11), (', that', 11), ('it is', 11), ('that the', 10), (', in', 10), ('to be', 8), (', but', 8), ('the same', 7), ('power of', 7), ('the constitution', 7), ('the union', 7), ('the state', 6), ('necessary and', 6), ('the laws', 6), ('have been', 6), ('a power', 6), ('power ,', 6)]","[('of the', 40), ('in the', 14), ('to the', 11), ('it is', 11), ('that the', 10), ('power of', 8), ('to be', 8), ('the same', 7), ('the constitution', 7), ('the union', 7), ('the state', 6), ('necessary and', 6), ('the laws', 6), ('have been', 6), ('a power', 6), ('from the', 5), ('upon the', 5), ('and proper', 5), ('laws of', 5), ('the supreme', 5)]","[('necessary proper', 5), ('supreme law', 4), ('law land', 4), ('national legislature', 3), ('united states', 3), ('federal government', 3), ('legislative power', 3), ('power taxation', 2), ('authorizes national', 2), ('constitution laws', 2), ('proposed constitution', 2), ('power power', 2), ('power making', 2), ('making laws', 2), ('power laying', 2), ('laying collecting', 2), ('collecting taxes', 2), ('lay collect', 2), ('collect taxes', 2), ('proper laws', 2)]",58,"[('NOUN', 349), ('DET', 261), ('ADP', 221), ('PUNCT', 191), ('VERB', 172), ('AUX', 160), ('SPACE', 150), ('PRON', 145), ('ADJ', 141), ('CCONJ', 77), ('ADV', 59), ('SCONJ', 53), ('PART', 51), ('PROPN', 20), ('NUM', 5)]",0.030446194225721784,0.28503937007874014,Hamilton
